"TIME","GEO","SPDEPS","UNIT","Value","Flag and Footnotes"
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'euros","3.276.283,09","p"
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Euro par habitant","6.618,83","p"
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'euros","3.135.727,18","p"
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Euro par habitant","6.334,88","p"
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'euros","100.153,36","p"
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Euro par habitant","202,33","p"
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'euros","40.402,55","p"
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Euro par habitant","81,62","p"
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'euros","912.145,20","p"
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Euro par habitant","1.842,74","p"
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'euros","3.121.594,31","p"
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)","3.125.376,01","p"
"2007","Union européenne (15 pays)","Total des dépenses","Euro par habitant","7.948,01","p"
"2007","Union européenne (15 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)","7.957,64","p"
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'euros","2.985.197,26","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)","2.988.813,72","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Euro par habitant","7.600,73","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)","7.609,93","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'euros","96.169,41","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)","96.285,92","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Euro par habitant","244,86","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)","245,16","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'euros","40.227,64","p"
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)","40.276,37","p"
"2007","Union européenne (15 pays)","Autres dépenses","Euro par habitant","102,43","p"
"2007","Union européenne (15 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)","102,55","p"
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'euros","872.331,22","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)","873.388,02","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Euro par habitant","2.221,08","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)","2.223,77","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'euros","2.430.265,15","p"
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)","2.527.524,28","p"
"2007","Zone euro (19 pays)","Total des dépenses","Euro par habitant","7.316,58","p"
"2007","Zone euro (19 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)","7.609,39","p"
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'euros","2.317.402,90","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)","2.410.145,29","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Euro par habitant","6.976,80","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)","7.256,01","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'euros","84.576,55","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)","87.961,30","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Euro par habitant","254,63","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)","264,82","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'euros","28.285,70","p"
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)","29.417,69","p"
"2007","Zone euro (19 pays)","Autres dépenses","Euro par habitant","85,16","p"
"2007","Zone euro (19 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)","88,57","p"
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'euros","681.292,66","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)","708.557,97","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Euro par habitant","2.051,11","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)","2.133,19","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'euros","2.426.129,97","p"
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Euro par habitant","7.375,89","p"
"2007","Zone euro (18 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'euros","2.313.380,62","p"
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Euro par habitant","7.033,11","p"
"2007","Zone euro (18 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'euros","84.465,13","p"
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Euro par habitant","256,79","p"
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'euros","28.284,23","p"
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Euro par habitant","85,99","p"
"2007","Zone euro (18 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
