"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"1998","Belgique","Nombre","Total",":",""
"1998","Belgique","Nombre","Homicide intentionnel",":",""
"1998","Belgique","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Belgique","Nombre","Vol qualifié",":",""
"1998","Belgique","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Bulgarie","Nombre","Total","163.988",""
"1998","Bulgarie","Nombre","Homicide intentionnel","381",""
"1998","Bulgarie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Bulgarie","Nombre","Vol qualifié","4.494",""
"1998","Bulgarie","Nombre","Cambriolage de locaux résidentiels privés","43.830",""
"1998","Tchéquie","Nombre","Total","425.930",""
"1998","Tchéquie","Nombre","Homicide intentionnel","183",""
"1998","Tchéquie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","23.810",""
"1998","Tchéquie","Nombre","Vol qualifié","4.306",""
"1998","Tchéquie","Nombre","Cambriolage de locaux résidentiels privés","12.752",""
"1998","Danemark","Nombre","Total","499.167",""
"1998","Danemark","Nombre","Homicide intentionnel","60",""
"1998","Danemark","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","15.482",""
"1998","Danemark","Nombre","Vol qualifié","5.008",""
"1998","Danemark","Nombre","Cambriolage de locaux résidentiels privés","31.463",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Total","6.456.996",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Homicide intentionnel","998",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","186.306",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Vol qualifié","64.405",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Cambriolage de locaux résidentiels privés","166.742",""
"1998","Estonie","Nombre","Total","45.721",""
"1998","Estonie","Nombre","Homicide intentionnel","196",""
"1998","Estonie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","710",""
"1998","Estonie","Nombre","Vol qualifié","3.978",""
"1998","Estonie","Nombre","Cambriolage de locaux résidentiels privés","7.026",""
"1998","Irlande","Nombre","Total","85.627",""
"1998","Irlande","Nombre","Homicide intentionnel","51",""
"1998","Irlande","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","4.515",""
"1998","Irlande","Nombre","Vol qualifié",":",""
"1998","Irlande","Nombre","Cambriolage de locaux résidentiels privés","15.840",""
"1998","Grèce","Nombre","Total","385.681",""
"1998","Grèce","Nombre","Homicide intentionnel","176",""
"1998","Grèce","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","9.312",""
"1998","Grèce","Nombre","Vol qualifié","2.254",""
"1998","Grèce","Nombre","Cambriolage de locaux résidentiels privés","43.228",""
"1998","Espagne","Nombre","Total","1.865.572",""
"1998","Espagne","Nombre","Homicide intentionnel","522",""
"1998","Espagne","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","122.005",""
"1998","Espagne","Nombre","Vol qualifié","105.528",""
"1998","Espagne","Nombre","Cambriolage de locaux résidentiels privés","89.428",""
"1998","France","Nombre","Total","3.565.525",""
"1998","France","Nombre","Homicide intentionnel","961",""
"1998","France","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","194.873",""
"1998","France","Nombre","Vol qualifié","84.291",""
"1998","France","Nombre","Cambriolage de locaux résidentiels privés","207.274",""
"1998","France (métropolitaine)","Nombre","Total","3.565.525",""
"1998","France (métropolitaine)","Nombre","Homicide intentionnel","961",""
"1998","France (métropolitaine)","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","194.873",""
"1998","France (métropolitaine)","Nombre","Vol qualifié","84.291",""
"1998","France (métropolitaine)","Nombre","Cambriolage de locaux résidentiels privés","207.274",""
"1998","Croatie","Nombre","Total","56.015",""
"1998","Croatie","Nombre","Homicide intentionnel","131",""
"1998","Croatie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","4.401",""
"1998","Croatie","Nombre","Vol qualifié","728",""
"1998","Croatie","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Italie","Nombre","Total","2.425.748",""
"1998","Italie","Nombre","Homicide intentionnel","918",""
"1998","Italie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","108.935",""
"1998","Italie","Nombre","Vol qualifié","73.289",""
"1998","Italie","Nombre","Cambriolage de locaux résidentiels privés","246.804",""
"1998","Chypre","Nombre","Total","4.316",""
"1998","Chypre","Nombre","Homicide intentionnel","7",""
"1998","Chypre","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","176",""
"1998","Chypre","Nombre","Vol qualifié","29",""
"1998","Chypre","Nombre","Cambriolage de locaux résidentiels privés","1.347",""
"1998","Lettonie","Nombre","Total","36.674",""
"1998","Lettonie","Nombre","Homicide intentionnel","238",""
"1998","Lettonie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Lettonie","Nombre","Vol qualifié",":",""
"1998","Lettonie","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Lituanie","Nombre","Total","78.149",""
"1998","Lituanie","Nombre","Homicide intentionnel","343",""
