"TIME","GEO","UNIT","Value","Flag and Footnotes"
"1998","Belgique","Nombre","36.419",""
"1998","Tchéquie","Nombre","43.888",""
"1998","Danemark","Nombre","9.962",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","237.786",""
"1998","Estonie","Nombre","4.089",""
"1998","Irlande","Nombre","11.235",""
"1998","Grèce","Nombre","45.389",""
"1998","Espagne","Nombre",":",""
"1998","France","Nombre","223.582",""
"1998","France (métropolitaine)","Nombre","223.582",""
"1998","Croatie","Nombre","22.577",""
"1998","Italie","Nombre","265.093",""
"1998","Chypre","Nombre","3.987",""
"1998","Lettonie","Nombre","10.878",""
"1998","Lituanie","Nombre","14.181",""
"1998","Luxembourg","Nombre","1.136",""
"1998","Hongrie","Nombre","30.382",""
"1998","Malte","Nombre","1.756",""
"1998","Pays-Bas","Nombre","32.088",""
"1998","Autriche","Nombre","26.817",""
"1998","Pologne","Nombre","99.285",""
"1998","Portugal","Nombre","46.104",""
"1998","Roumanie","Nombre","48.803",""
"1998","Slovénie","Nombre","6.821",""
"1998","Slovaquie","Nombre","13.988",""
"1998","Finlande","Nombre","7.889",""
"1998","Suède","Nombre","16.429",""
"1998","England et Wales","Nombre","126.814",""
"1998","Scotland","Nombre","14.854",""
"1998","Northern Ireland (UK)","Nombre",":",""
"1998","Islande","Nombre",":",""
"1998","Liechtenstein","Nombre",":",""
"1998","Norvège","Nombre","7.384",""
"1998","Suisse","Nombre","14.367",""
"1998","Ancienne République yougoslave de Macédoine","Nombre",":",""
"1998","Turquie","Nombre","322.766",""
"1999","Belgique","Nombre","36.179",""
"1999","Tchéquie","Nombre","44.083",""
"1999","Danemark","Nombre","10.048",""
"1999","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","252.230",""
"1999","Estonie","Nombre","3.584",""
"1999","Irlande","Nombre","11.458",""
"1999","Grèce","Nombre","48.981",""
"1999","Espagne","Nombre","187.450",""
"1999","France","Nombre","227.123",""
"1999","France (métropolitaine)","Nombre","227.123",""
"1999","Croatie","Nombre","22.219",""
"1999","Italie","Nombre","273.422",""
"1999","Chypre","Nombre","4.258",""
"1999","Lettonie","Nombre","10.697",""
"1999","Lituanie","Nombre","13.663",""
"1999","Luxembourg","Nombre","1.162",""
"1999","Hongrie","Nombre","29.878",""
"1999","Malte","Nombre","1.734",""
"1999","Pays-Bas","Nombre","32.374",""
"1999","Autriche","Nombre","26.883",""
"1999","Pologne","Nombre","98.647",""
"1999","Portugal","Nombre","47.303",""
"1999","Roumanie","Nombre","48.106",""
"1999","Slovénie","Nombre","6.465",""
"1999","Slovaquie","Nombre","13.957",""
"1999","Finlande","Nombre","7.960",""
"1999","Suède","Nombre","16.201",""
"1999","England et Wales","Nombre","126.096",""
"1999","Scotland","Nombre","14.684",""
"1999","Northern Ireland (UK)","Nombre","11.240",""
"1999","Islande","Nombre",":",""
"1999","Liechtenstein","Nombre","72",""
"1999","Norvège","Nombre","7.725",""
"1999","Suisse","Nombre","14.156",""
"1999","Ancienne République yougoslave de Macédoine","Nombre",":",""
"1999","Turquie","Nombre","345.033",""
"2000","Belgique","Nombre","36.933",""
"2000","Tchéquie","Nombre","44.828",""
"2000","Danemark","Nombre","10.197",""
"2000","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","250.178",""
"2000","Estonie","Nombre","3.633",""
"2000","Irlande","Nombre","11.640",""
"2000","Grèce","Nombre","51.081",""
"2000","Espagne","Nombre","189.165",""
"2000","France","Nombre","233.484",""
