"TIME","GEO","UNIT","Value","Flag and Footnotes"
"1998","Belgique","Nombre","8.176",""
"1998","Bulgarie","Nombre","10.779",""
"1998","Tchéquie","Nombre","22.085",""
"1998","Danemark","Nombre","3.422",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","69.917",""
"1998","Estonie","Nombre","4.791",""
"1998","Irlande","Nombre","2.620",""
"1998","Grèce","Nombre","7.129",""
"1998","Espagne","Nombre","44.370",""
"1998","France","Nombre","53.667",""
"1998","Croatie","Nombre",":",""
"1998","Italie","Nombre","49.173",""
"1998","Chypre","Nombre","226",""
"1998","Lettonie","Nombre","10.070",""
"1998","Lituanie","Nombre","13.813",""
"1998","Luxembourg","Nombre","392",""
"1998","Hongrie","Nombre","14.366",""
"1998","Malte","Nombre","260",""
"1998","Pays-Bas","Nombre","12.593",""
"1998","Autriche","Nombre","6.891",""
"1998","Pologne","Nombre","59.180",""
"1998","Portugal","Nombre","14.330",""
"1998","Roumanie","Nombre","52.149",""
"1998","Slovénie","Nombre","793",""
"1998","Slovaquie","Nombre","6.897",""
"1998","Finlande","Nombre","2.772",""
"1998","Suède","Nombre","5.279",""
"1998","England et Wales","Nombre","65.771",""
"1998","Scotland","Nombre","6.029",""
"1998","Northern Ireland (UK)","Nombre","1.454",""
"1998","Islande","Nombre",":",""
"1998","Liechtenstein","Nombre","65",""
"1998","Norvège","Nombre","2.466",""
"1998","Suisse","Nombre","5.648",""
"1998","Monténégro","Nombre",":",""
"1998","Ancienne République yougoslave de Macédoine","Nombre","1.121",""
"1998","Serbie","Nombre",":",""
"1998","Turquie","Nombre","66.096",""
"1999","Belgique","Nombre","7.889",""
"1999","Bulgarie","Nombre","10.787",""
"1999","Tchéquie","Nombre","23.395",""
"1999","Danemark","Nombre","3.477",""
"1999","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","69.214",""
"1999","Estonie","Nombre","4.379",""
"1999","Irlande","Nombre","2.741",""
"1999","Grèce","Nombre","7.525",""
"1999","Espagne","Nombre","44.197",""
"1999","France","Nombre","53.948",""
"1999","Croatie","Nombre",":",""
"1999","Italie","Nombre","52.870",""
"1999","Chypre","Nombre","247",""
"1999","Lettonie","Nombre","8.815",""
"1999","Lituanie","Nombre","14.207",""
"1999","Luxembourg","Nombre","386",""
"1999","Hongrie","Nombre","15.110",""
"1999","Malte","Nombre","230",""
"1999","Pays-Bas","Nombre","12.813",""
"1999","Autriche","Nombre","6.877",""
"1999","Pologne","Nombre","54.842",""
"1999","Portugal","Nombre","13.086",""
"1999","Roumanie","Nombre","49.790",""
"1999","Slovénie","Nombre","935",""
"1999","Slovaquie","Nombre","6.904",""
"1999","Finlande","Nombre","2.663",""
"1999","Suède","Nombre","5.280",""
"1999","England et Wales","Nombre","65.594",""
"1999","Scotland","Nombre","5.975",""
"1999","Northern Ireland (UK)","Nombre","1.158",""
"1999","Islande","Nombre",":",""
"1999","Liechtenstein","Nombre","71",""
"1999","Norvège","Nombre","2.512",""
"1999","Suisse","Nombre","5.818",""
"1999","Monténégro","Nombre",":",""
"1999","Ancienne République yougoslave de Macédoine","Nombre","1.238",""
"1999","Serbie","Nombre",":",""
"1999","Turquie","Nombre","67.676",""
"2000","Belgique","Nombre","8.688",""
"2000","Bulgarie","Nombre","9.424",""
"2000","Tchéquie","Nombre","22.418",""
"2000","Danemark","Nombre","3.382",""
