"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2008","Union européenne (composition actuelle)","Total","Total","Nombre","500.297.033","b"
"2008","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","495.985.066","b"
"2008","Zone euro (19 pays)","Total","Total","Nombre","333.096.775","b"
"2008","Zone euro (18 pays)","Total","Total","Nombre","329.884.170","b"
"2008","Belgique","Total","Total","Nombre","10.666.866",""
"2008","Bulgarie","Total","Total","Nombre","7.518.002",""
"2008","Tchéquie","Total","Total","Nombre","10.343.422",""
"2008","Danemark","Total","Total","Nombre","5.475.791",""
"2008","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","82.217.837",""
"2008","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","82.217.837",""
"2008","Estonie","Total","Total","Nombre","1.338.440",""
"2008","Irlande","Total","Total","Nombre","4.457.765",""
"2008","Grèce","Total","Total","Nombre","11.060.937",""
"2008","Espagne","Total","Total","Nombre","45.668.939",""
"2008","France","Total","Total","Nombre","64.007.193",""
"2008","France (métropolitaine)","Total","Total","Nombre","62.134.866",""
"2008","Croatie","Total","Total","Nombre","4.311.967",""
"2008","Italie","Total","Total","Nombre","58.652.875",""
"2008","Chypre","Total","Total","Nombre","776.333",""
"2008","Lettonie","Total","Total","Nombre","2.191.810",""
"2008","Lituanie","Total","Total","Nombre","3.212.605",""
"2008","Luxembourg","Total","Total","Nombre","483.799",""
"2008","Hongrie","Total","Total","Nombre","10.045.401",""
"2008","Malte","Total","Total","Nombre","407.832",""
"2008","Pays-Bas","Total","Total","Nombre","16.405.399",""
"2008","Autriche","Total","Total","Nombre","8.307.989",""
"2008","Pologne","Total","Total","Nombre","38.115.641",""
"2008","Portugal","Total","Total","Nombre","10.553.339",""
"2008","Roumanie","Total","Total","Nombre","20.635.460",""
"2008","Slovénie","Total","Total","Nombre","2.010.269","b"
"2008","Slovaquie","Total","Total","Nombre","5.376.064",""
"2008","Finlande","Total","Total","Nombre","5.300.484",""
