"TIME","GEO","UNIT","Value","Flag and Footnotes"
"1998","Belgique","Nombre","8176",""
"1998","Bulgarie","Nombre","10779",""
"1998","Tchéquie","Nombre","22085",""
"1998","Danemark","Nombre","3422",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","69917",""
"1998","Estonie","Nombre","4791",""
"1998","Irlande","Nombre","2620",""
"1998","Grèce","Nombre","7129",""
"1998","Espagne","Nombre","44370",""
"1998","France","Nombre","53667",""
"1998","Croatie","Nombre",":",""
"1998","Italie","Nombre","49173",""
"1998","Chypre","Nombre","226",""
"1998","Lettonie","Nombre","10070",""
"1998","Lituanie","Nombre","13813",""
"1998","Luxembourg","Nombre","392",""
"1998","Hongrie","Nombre","14366",""
"1998","Malte","Nombre","260",""
"1998","Pays-Bas","Nombre","12593",""
"1998","Autriche","Nombre","6891",""
"1998","Pologne","Nombre","59180",""
"1998","Portugal","Nombre","14330",""
"1998","Roumanie","Nombre","52149",""
"1998","Slovénie","Nombre","793",""
"1998","Slovaquie","Nombre","6897",""
"1998","Finlande","Nombre","2772",""
"1998","Suède","Nombre","5279",""
"1998","England et Wales","Nombre","65771",""
"1998","Scotland","Nombre","6029",""
"1998","Northern Ireland (UK)","Nombre","1454",""
"1998","Islande","Nombre",":",""
"1998","Liechtenstein","Nombre","65",""
"1998","Norvège","Nombre","2466",""
"1998","Suisse","Nombre","5648",""
"1998","Monténégro","Nombre",":",""
"1998","Ancienne République yougoslave de Macédoine","Nombre","1121",""
"1998","Serbie","Nombre",":",""
"1998","Turquie","Nombre","66096",""
"1999","Belgique","Nombre","7889",""
"1999","Bulgarie","Nombre","10787",""
"1999","Tchéquie","Nombre","23395",""
"1999","Danemark","Nombre","3477",""
"1999","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","69214",""
"1999","Estonie","Nombre","4379",""
"1999","Irlande","Nombre","2741",""
"1999","Grèce","Nombre","7525",""
"1999","Espagne","Nombre","44197",""
"1999","France","Nombre","53948",""
"1999","Croatie","Nombre",":",""
"1999","Italie","Nombre","52870",""
"1999","Chypre","Nombre","247",""
"1999","Lettonie","Nombre","8815",""
"1999","Lituanie","Nombre","14207",""
"1999","Luxembourg","Nombre","386",""
"1999","Hongrie","Nombre","15110",""
"1999","Malte","Nombre","230",""
"1999","Pays-Bas","Nombre","12813",""
"1999","Autriche","Nombre","6877",""
"1999","Pologne","Nombre","54842",""
"1999","Portugal","Nombre","13086",""
"1999","Roumanie","Nombre","49790",""
"1999","Slovénie","Nombre","935",""
"1999","Slovaquie","Nombre","6904",""
"1999","Finlande","Nombre","2663",""
"1999","Suède","Nombre","5280",""
"1999","England et Wales","Nombre","65594",""
"1999","Scotland","Nombre","5975",""
"1999","Northern Ireland (UK)","Nombre","1158",""
"1999","Islande","Nombre",":",""
"1999","Liechtenstein","Nombre","71",""
"1999","Norvège","Nombre","2512",""
"1999","Suisse","Nombre","5818",""
"1999","Monténégro","Nombre",":",""
"1999","Ancienne République yougoslave de Macédoine","Nombre","1238",""
"1999","Serbie","Nombre",":",""
"1999","Turquie","Nombre","67676",""
"2000","Belgique","Nombre","8688",""
"2000","Bulgarie","Nombre","9424",""
"2000","Tchéquie","Nombre","22418",""
"2000","Danemark","Nombre","3382",""
"2000","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","70252",""
"2000","Estonie","Nombre","4679",""
"2000","Irlande","Nombre","2887",""
