"TIME","GEO","UNIT","ICCS","Value","Flag and Footnotes"
"1998","Belgique","Nombre","Total",":",""
"1998","Belgique","Nombre","Homicide intentionnel",":",""
"1998","Belgique","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Belgique","Nombre","Vol qualifié",":",""
"1998","Belgique","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Bulgarie","Nombre","Total","163988",""
"1998","Bulgarie","Nombre","Homicide intentionnel","381",""
"1998","Bulgarie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Bulgarie","Nombre","Vol qualifié","4494",""
"1998","Bulgarie","Nombre","Cambriolage de locaux résidentiels privés","43830",""
"1998","Tchéquie","Nombre","Total","425930",""
"1998","Tchéquie","Nombre","Homicide intentionnel","183",""
"1998","Tchéquie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","23810",""
"1998","Tchéquie","Nombre","Vol qualifié","4306",""
"1998","Tchéquie","Nombre","Cambriolage de locaux résidentiels privés","12752",""
"1998","Danemark","Nombre","Total","499167",""
"1998","Danemark","Nombre","Homicide intentionnel","60",""
"1998","Danemark","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","15482",""
"1998","Danemark","Nombre","Vol qualifié","5008",""
"1998","Danemark","Nombre","Cambriolage de locaux résidentiels privés","31463",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Total","6456996",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Homicide intentionnel","998",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","186306",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Vol qualifié","64405",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","Cambriolage de locaux résidentiels privés","166742",""
"1998","Estonie","Nombre","Total","45721",""
"1998","Estonie","Nombre","Homicide intentionnel","196",""
"1998","Estonie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","710",""
"1998","Estonie","Nombre","Vol qualifié","3978",""
"1998","Estonie","Nombre","Cambriolage de locaux résidentiels privés","7026",""
"1998","Irlande","Nombre","Total","85627",""
"1998","Irlande","Nombre","Homicide intentionnel","51",""
"1998","Irlande","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","4515",""
"1998","Irlande","Nombre","Vol qualifié",":",""
"1998","Irlande","Nombre","Cambriolage de locaux résidentiels privés","15840",""
"1998","Grèce","Nombre","Total","385681",""
"1998","Grèce","Nombre","Homicide intentionnel","176",""
"1998","Grèce","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","9312",""
"1998","Grèce","Nombre","Vol qualifié","2254",""
"1998","Grèce","Nombre","Cambriolage de locaux résidentiels privés","43228",""
"1998","Espagne","Nombre","Total","1865572",""
"1998","Espagne","Nombre","Homicide intentionnel","522",""
"1998","Espagne","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","122005",""
"1998","Espagne","Nombre","Vol qualifié","105528",""
"1998","Espagne","Nombre","Cambriolage de locaux résidentiels privés","89428",""
"1998","France","Nombre","Total","3565525",""
"1998","France","Nombre","Homicide intentionnel","961",""
"1998","France","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","194873",""
"1998","France","Nombre","Vol qualifié","84291",""
"1998","France","Nombre","Cambriolage de locaux résidentiels privés","207274",""
"1998","France (métropolitaine)","Nombre","Total","3565525",""
"1998","France (métropolitaine)","Nombre","Homicide intentionnel","961",""
"1998","France (métropolitaine)","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","194873",""
"1998","France (métropolitaine)","Nombre","Vol qualifié","84291",""
"1998","France (métropolitaine)","Nombre","Cambriolage de locaux résidentiels privés","207274",""
"1998","Croatie","Nombre","Total","56015",""
"1998","Croatie","Nombre","Homicide intentionnel","131",""
"1998","Croatie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","4401",""
"1998","Croatie","Nombre","Vol qualifié","728",""
"1998","Croatie","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Italie","Nombre","Total","2425748",""
"1998","Italie","Nombre","Homicide intentionnel","918",""
"1998","Italie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","108935",""
"1998","Italie","Nombre","Vol qualifié","73289",""
"1998","Italie","Nombre","Cambriolage de locaux résidentiels privés","246804",""
"1998","Chypre","Nombre","Total","4316",""
"1998","Chypre","Nombre","Homicide intentionnel","7",""
"1998","Chypre","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne","176",""
"1998","Chypre","Nombre","Vol qualifié","29",""
"1998","Chypre","Nombre","Cambriolage de locaux résidentiels privés","1347",""
"1998","Lettonie","Nombre","Total","36674",""
"1998","Lettonie","Nombre","Homicide intentionnel","238",""
"1998","Lettonie","Nombre","Actes portant atteinte ou visant à porter atteinte à la personne, actes préjudiciables à caractère sexuel et actes visant des biens avec violence ou menaces contre une personne",":",""
"1998","Lettonie","Nombre","Vol qualifié",":",""
"1998","Lettonie","Nombre","Cambriolage de locaux résidentiels privés",":",""
"1998","Lituanie","Nombre","Total","78149",""
"1998","Lituanie","Nombre","Homicide intentionnel","343",""
