"TIME","GEO","UNIT","Value","Flag and Footnotes"
"1998","Belgique","Nombre","36419",""
"1998","Tchéquie","Nombre","43888",""
"1998","Danemark","Nombre","9962",""
"1998","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","237786",""
"1998","Estonie","Nombre","4089",""
"1998","Irlande","Nombre","11235",""
"1998","Grèce","Nombre","45389",""
"1998","Espagne","Nombre",":",""
"1998","France","Nombre","223582",""
"1998","France (métropolitaine)","Nombre","223582",""
"1998","Croatie","Nombre","22577",""
"1998","Italie","Nombre","265093",""
"1998","Chypre","Nombre","3987",""
"1998","Lettonie","Nombre","10878",""
"1998","Lituanie","Nombre","14181",""
"1998","Luxembourg","Nombre","1136",""
"1998","Hongrie","Nombre","30382",""
"1998","Malte","Nombre","1756",""
"1998","Pays-Bas","Nombre","32088",""
"1998","Autriche","Nombre","26817",""
"1998","Pologne","Nombre","99285",""
"1998","Portugal","Nombre","46104",""
"1998","Roumanie","Nombre","48803",""
"1998","Slovénie","Nombre","6821",""
"1998","Slovaquie","Nombre","13988",""
"1998","Finlande","Nombre","7889",""
"1998","Suède","Nombre","16429",""
"1998","England et Wales","Nombre","126814",""
"1998","Scotland","Nombre","14854",""
"1998","Northern Ireland (UK)","Nombre",":",""
"1998","Islande","Nombre",":",""
"1998","Liechtenstein","Nombre",":",""
"1998","Norvège","Nombre","7384",""
"1998","Suisse","Nombre","14367",""
"1998","Ancienne République yougoslave de Macédoine","Nombre",":",""
"1998","Turquie","Nombre","322766",""
"1999","Belgique","Nombre","36179",""
"1999","Tchéquie","Nombre","44083",""
"1999","Danemark","Nombre","10048",""
"1999","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","252230",""
"1999","Estonie","Nombre","3584",""
"1999","Irlande","Nombre","11458",""
"1999","Grèce","Nombre","48981",""
"1999","Espagne","Nombre","187450",""
"1999","France","Nombre","227123",""
"1999","France (métropolitaine)","Nombre","227123",""
"1999","Croatie","Nombre","22219",""
"1999","Italie","Nombre","273422",""
"1999","Chypre","Nombre","4258",""
"1999","Lettonie","Nombre","10697",""
"1999","Lituanie","Nombre","13663",""
"1999","Luxembourg","Nombre","1162",""
"1999","Hongrie","Nombre","29878",""
"1999","Malte","Nombre","1734",""
"1999","Pays-Bas","Nombre","32374",""
"1999","Autriche","Nombre","26883",""
"1999","Pologne","Nombre","98647",""
"1999","Portugal","Nombre","47303",""
"1999","Roumanie","Nombre","48106",""
"1999","Slovénie","Nombre","6465",""
"1999","Slovaquie","Nombre","13957",""
"1999","Finlande","Nombre","7960",""
"1999","Suède","Nombre","16201",""
"1999","England et Wales","Nombre","126096",""
"1999","Scotland","Nombre","14684",""
"1999","Northern Ireland (UK)","Nombre","11240",""
"1999","Islande","Nombre",":",""
"1999","Liechtenstein","Nombre","72",""
"1999","Norvège","Nombre","7725",""
"1999","Suisse","Nombre","14156",""
"1999","Ancienne République yougoslave de Macédoine","Nombre",":",""
"1999","Turquie","Nombre","345033",""
"2000","Belgique","Nombre","36933",""
"2000","Tchéquie","Nombre","44828",""
"2000","Danemark","Nombre","10197",""
"2000","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","250178",""
"2000","Estonie","Nombre","3633",""
"2000","Irlande","Nombre","11640",""
"2000","Grèce","Nombre","51081",""
"2000","Espagne","Nombre","189165",""
"2000","France","Nombre","233484",""
"2000","France (métropolitaine)","Nombre","233484",""
"2000","Croatie","Nombre","22264",""
"2000","Italie","Nombre","273211",""
"2000","Chypre","Nombre","4462",""
