"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2008","Union européenne (composition actuelle)","Total","Total","Nombre","500297033","b"
"2008","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","495985066","b"
"2008","Zone euro (19 pays)","Total","Total","Nombre","333096775","b"
"2008","Zone euro (18 pays)","Total","Total","Nombre","329884170","b"
"2008","Belgique","Total","Total","Nombre","10666866",""
"2008","Bulgarie","Total","Total","Nombre","7518002",""
"2008","Tchéquie","Total","Total","Nombre","10343422",""
"2008","Danemark","Total","Total","Nombre","5475791",""
"2008","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","82217837",""
"2008","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","82217837",""
"2008","Estonie","Total","Total","Nombre","1338440",""
"2008","Irlande","Total","Total","Nombre","4457765",""
"2008","Grèce","Total","Total","Nombre","11060937",""
"2008","Espagne","Total","Total","Nombre","45668939",""
"2008","France","Total","Total","Nombre","64007193",""
"2008","France (métropolitaine)","Total","Total","Nombre","62134866",""
"2008","Croatie","Total","Total","Nombre","4311967",""
"2008","Italie","Total","Total","Nombre","58652875",""
"2008","Chypre","Total","Total","Nombre","776333",""
"2008","Lettonie","Total","Total","Nombre","2191810",""
"2008","Lituanie","Total","Total","Nombre","3212605",""
"2008","Luxembourg","Total","Total","Nombre","483799",""
"2008","Hongrie","Total","Total","Nombre","10045401",""
"2008","Malte","Total","Total","Nombre","407832",""
"2008","Pays-Bas","Total","Total","Nombre","16405399",""
"2008","Autriche","Total","Total","Nombre","8307989",""
"2008","Pologne","Total","Total","Nombre","38115641",""
"2008","Portugal","Total","Total","Nombre","10553339",""
"2008","Roumanie","Total","Total","Nombre","20635460",""
"2008","Slovénie","Total","Total","Nombre","2010269","b"
"2008","Slovaquie","Total","Total","Nombre","5376064",""
"2008","Finlande","Total","Total","Nombre","5300484",""
"2008","Suède","Total","Total","Nombre","9182927",""
"2008","Royaume-Uni","Total","Total","Nombre","61571647",""
