"TIME","GEO","SPDEPS","UNIT","Value","Flag and Footnotes"
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'euros",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Euro par habitant",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (composition actuelle)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'euros","3276283,09","p"
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Euro par habitant","6618,83","p"
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'euros","3135727,18","p"
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Euro par habitant","6334,88","p"
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'euros","100153,36","p"
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Euro par habitant","202,33","p"
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'euros","40402,55","p"
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Euro par habitant","81,62","p"
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'euros","912145,20","p"
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Euro par habitant","1842,74","p"
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Union européenne (avant l'accession de la Croatie)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'euros","3121594,31","p"
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)","3125376,01","p"
"2007","Union européenne (15 pays)","Total des dépenses","Euro par habitant","7948,01","p"
"2007","Union européenne (15 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)","7957,64","p"
"2007","Union européenne (15 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'euros","2985197,26","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)","2988813,72","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Euro par habitant","7600,73","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)","7609,93","p"
"2007","Union européenne (15 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'euros","96169,41","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)","96285,92","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Euro par habitant","244,86","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)","245,16","p"
"2007","Union européenne (15 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'euros","40227,64","p"
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)","40276,37","p"
"2007","Union européenne (15 pays)","Autres dépenses","Euro par habitant","102,43","p"
"2007","Union européenne (15 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)","102,55","p"
"2007","Union européenne (15 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'euros","872331,22","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)","873388,02","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Euro par habitant","2221,08","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)","2223,77","p"
"2007","Union européenne (15 pays)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'euros","2430265,15","p"
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)","2527524,28","p"
"2007","Zone euro (19 pays)","Total des dépenses","Euro par habitant","7316,58","p"
"2007","Zone euro (19 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)","7609,39","p"
"2007","Zone euro (19 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'euros","2317402,90","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)","2410145,29","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Euro par habitant","6976,80","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)","7256,01","p"
"2007","Zone euro (19 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'euros","84576,55","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)","87961,30","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Euro par habitant","254,63","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)","264,82","p"
"2007","Zone euro (19 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'euros","28285,70","p"
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)","29417,69","p"
"2007","Zone euro (19 pays)","Autres dépenses","Euro par habitant","85,16","p"
"2007","Zone euro (19 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)","88,57","p"
"2007","Zone euro (19 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'euros","681292,66","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'euros (aux prix constants de 2010)","708557,97","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Euro par habitant","2051,11","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Euro par habitant (aux prix constants de 2010)","2133,19","p"
"2007","Zone euro (19 pays)","Maladie/Soins de santé","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'euros","2426129,97","p"
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Euro par habitant","7375,89","p"
"2007","Zone euro (18 pays)","Total des dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Total des dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'euros","2313380,62","p"
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Euro par habitant","7033,11","p"
"2007","Zone euro (18 pays)","Prestations de protection sociale","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Prestations de protection sociale","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'euros","84465,13","p"
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Euro par habitant","256,79","p"
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Dépenses de fonctionnement","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'euros","28284,23","p"
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'euros (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Euro par habitant","85,99","p"
"2007","Zone euro (18 pays)","Autres dépenses","Euro par habitant (aux prix constants de 2010)",":",""
"2007","Zone euro (18 pays)","Autres dépenses","Millions d'unités de monnaie nationale",":",""
"2007","Zone euro (18 pays)","Maladie/Soins de santé","Millions d'euros","680049,27","p"
